id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2025,assessora_gerencial_2026,pertence_universo_avaliativo_2025,pertence_universo_avaliativo_2026,recebe_assessoramento_2025,recebe_assessoramento_2026,incluir_indice_carga_2025,incluir_indice_carga_2026,grupo_administrativo_2024_final,matriculas_anos_iniciais,turmas_anos_iniciais,docentes_anos_iniciais,alunos_por_turma_anos_iniciais,pct_matriculas_anos_iniciais_integral,pct_matriculas_educacao_especial,indice_infraestrutura_basica,possui_alerta_composicao
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,,,SIM,SIM,NAO,NAO,FALSE,FALSE,Filantrópica supervisionada,109,0,0,,100,6.598984771573604,80,TRUE
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,,,SIM,SIM,NAO,NAO,FALSE,FALSE,Privada conveniada ou supervisionada,245,14,11,17.5,18.367346938775512,6.128133704735376,70,TRUE
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,,clarissa,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,465,21,33,22.142857142857142,0.21505376344086025,7.790262172284645,100,TRUE
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,,graziela,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,517,22,27,23.5,15.667311411992262,7.41901776384535,90,TRUE
ESC_004,43105459,EMEF AMERICA,nathalia,,nathalia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,261,10,18,26.1,0.3831417624521073,7.205240174672489,100,TRUE
ESC_005,43105467,EMEF ARAMY SILVA,priscila,,priscila,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,422,20,27,21.1,0,11.951219512195122,100,TRUE
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,,andreia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,255,10,16,25.5,34.90196078431372,12.266112266112266,100,TRUE
ESC_007,43187560,EMEF CHAPEU DO SOL,ruti,,ruti,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,542,22,26,24.636363636363637,28.59778597785978,8.558558558558559,100,TRUE
ESC_008,43177581,EMEF CHICO MENDES,eliane,,eliane,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,541,22,29,24.59090909090909,13.67837338262477,9.099181073703368,100,TRUE
ESC_009,43105475,EMEF DECIO MARTINS COSTA,nathalia,,nathalia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,511,21,35,24.333333333333332,9.001956947162427,6.335797254487856,100,TRUE
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,,marian,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,495,19,27,26.05263157894737,0.202020202020202,7.142857142857143,100,TRUE
ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,,clarissa,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,581,23,37,25.26086956521739,1.8932874354561104,7.331136738056013,100,FALSE
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,,jalize,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,677,27,31,25.074074074074073,20.236336779911372,6.896551724137931,90,TRUE
ESC_013,43106331,EMEF ESPIRITO SANTO,priscila,,priscila,NAO,SIM,NAO,SIM,FALSE,TRUE,Rede estadual em 2024,54,4,5,13.5,0,0,60,FALSE
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,,jalize,NAO,SIM,NAO,SIM,FALSE,TRUE,Rede estadual em 2024,100,5,7,20,0,1,70,FALSE
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,,amanda,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,255,13,22,19.615384615384617,0,5.743243243243243,100,TRUE
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,,clarissa,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,585,24,28,24.375,8.376068376068377,8.389830508474576,90,TRUE
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,,andreia,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,470,20,25,23.5,24.46808510638298,7.762096774193548,80,TRUE
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,,jalize,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,501,19,24,26.36842105263158,5.788423153692615,7.265388496468214,100,TRUE
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,,clarissa,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,379,16,26,23.6875,0,8.375634517766498,100,TRUE
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,,eliane,SIM,SIM,NAO,SIM,FALSE,TRUE,Rede municipal direta em 2024,417,20,31,20.85,0,7.159353348729792,90,TRUE
