id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2025,assessora_gerencial_2026,ano_escolar,componente,pertence_universo_avaliativo_2025,pertence_universo_avaliativo_2026,previstos_2025,avaliados_2025,taxa_participacao_2025,proficiencia_media_2025,pct_defasagem_2025,pct_adequado_2025,previstos_2026,avaliados_2026,taxa_participacao_2026,proficiencia_media_2026,pct_defasagem_2026,pct_adequado_2026,delta_participacao,delta_proficiencia,variacao_relativa_previstos,alerta_composicao_serie,observacao_composicao
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,,,1,Língua Portuguesa,TRUE,TRUE,20,18,90,62.166666666666664,16.666666666666668,61.333333333333336,23,16,69.56521739130434,48,36,29,-20.434782608695656,-14.166666666666664,15,TRUE,Queda de participação igual ou superior a 10 p.p.
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,,,2,Língua Portuguesa,TRUE,TRUE,22,17,77.27272727272727,65.17647058823529,23.41176470588235,47.05882352941177,,,,,,,,,,FALSE,Escola-série ausente em um dos anos
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,,,3,Língua Portuguesa,TRUE,TRUE,23,17,73.91304347826087,77.23529411764706,6.117647058823529,70.58823529411765,,,,,,,,,,FALSE,Escola-série ausente em um dos anos
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,,,4,Língua Portuguesa,TRUE,TRUE,20,16,80,77.8125,6.1875,62.75,,,,,,,,,,FALSE,Escola-série ausente em um dos anos
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,,,5,Língua Portuguesa,TRUE,TRUE,20,14,70,67,0,50,,,,,,,,,,FALSE,Escola-série ausente em um dos anos
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,,,1,Língua Portuguesa,TRUE,TRUE,46,36,78.26086956521739,59.916666666666664,19.694444444444443,41.611111111111114,49,38,77.55102040816327,31.210526315789473,62.8421052631579,18.31578947368421,-0.7098491570541228,-28.70614035087719,6.521739130434782,FALSE,Sem alerta principal de composição
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,,,2,Língua Portuguesa,TRUE,TRUE,56,37,66.07142857142857,57.37837837837838,18.864864864864863,29.89189189189189,46,41,89.1304347826087,41.90243902439025,36.707317073170735,10.365853658536585,23.059006211180133,-15.475939353988132,-17.857142857142858,TRUE,Aumento de participação igual ou superior a 10 p.p.
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,,,3,Língua Portuguesa,TRUE,TRUE,70,55,78.57142857142857,56.52727272727272,30.963636363636365,39.81818181818182,63,60,95.23809523809524,44.28333333333333,40.06666666666667,31.45,16.66666666666667,-12.243939393939392,-10,TRUE,Aumento de participação igual ou superior a 10 p.p.
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,,,4,Língua Portuguesa,TRUE,TRUE,57,46,80.70175438596492,57.71739130434783,24.08695652173913,41.58695652173913,72,62,86.11111111111111,44.96774193548387,43.854838709677416,32.983870967741936,5.409356725146196,-12.749649368863956,26.31578947368421,TRUE,Mudança relevante no número de estudantes previstos
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,outras,,,5,Língua Portuguesa,TRUE,TRUE,29,20,68.96551724137932,74,0,54.8,38,36,94.73684210526316,55.388888888888886,19.5,30.583333333333332,25.771324863883848,-18.61111111111111,31.03448275862069,TRUE,Mudança relevante no público previsto e aumento de participação
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,,clarissa,1,Língua Portuguesa,TRUE,TRUE,90,75,83.33333333333333,38.53333333333333,49.266666666666666,21.4,75,57,76,39.49122807017544,48.80701754385965,27.05263157894737,-7.333333333333329,0.9578947368421068,-16.666666666666668,FALSE,Sem alerta principal de composição
