id_escola_periodo,id_escola,codigo_inep,nome_canonico,ano,avaliacao_id,avaliacao_rotulo,chave_periodo,periodo_programa,pertence_universo_avaliativo,elegivel_assessoramento,recebe_assessoramento,exposicao_programa_binaria,assessora_vinculo_administrativo,assessora_gerencial,status_carga_operacional,grupo_exposicao,incluir_diagnostico_avaliativo_ampliado,incluir_resultados_rede_assessorada,incluir_indice_carga,incluir_nao_exposto_descritivo,fonte_validacao,data_validacao,responsavel_validacao,observacao_validacao,status_homologacao,versao_regra
ESC_001__2025_1a_avaliacao_formativa,ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,outras,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_002__2025_1a_avaliacao_formativa,ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,clarissa,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_003__2025_1a_avaliacao_formativa,ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,graziela,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_004__2025_1a_avaliacao_formativa,ESC_004,43105459,EMEF AMERICA,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,nathalia,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_005__2025_1a_avaliacao_formativa,ESC_005,43105467,EMEF ARAMY SILVA,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,priscila,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_006__2025_1a_avaliacao_formativa,ESC_006,43173713,EMEF CAMPOS DO CRISTAL,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,andreia,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_007__2025_1a_avaliacao_formativa,ESC_007,43187560,EMEF CHAPEU DO SOL,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,ruti,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_008__2025_1a_avaliacao_formativa,ESC_008,43177581,EMEF CHICO MENDES,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,eliane,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_009__2025_1a_avaliacao_formativa,ESC_009,43105475,EMEF DECIO MARTINS COSTA,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,nathalia,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
ESC_010__2025_1a_avaliacao_formativa,ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,2025,1a_avaliacao_formativa,1ª Avaliação Formativa,2025_1a_avaliacao_formativa,linha_base_pre_programa,SIM,NA_APLICAVEL,NAO,0,marian,,SEM_CARGA_DO_PROGRAMA,LINHA_BASE_PRE_PROGRAMA,TRUE,FALSE,FALSE,FALSE,regra temporal pre-programa registrada no painel,,regra temporal preexistente do projeto,Primeira avaliação formativa anterior ao início do assessoramento.,REGRA_TEMPORAL_CONFIRMADA,2025_1a_avaliacao_formativa_linha_base
