fonte,nome_original,chave_origem,chave_dimensao,nome_vinculo,assessora,metodo_correspondencia,observacao_correspondencia,id_escola,nome_canonico,codigo_inep,nome_inep,metodo_correspondencia_inep,status_codigo_inep
CAEd,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada,,ESC_001,EEF PEQUENA CASA DA CRIANCA,43105416,6001 EEF PEQUENA CASA DA CRIANCA,aceite_manual,consolidado
Contexto CAEd,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,outras,exata_normalizada,,ESC_001,EEF PEQUENA CASA DA CRIANCA,43105416,6001 EEF PEQUENA CASA DA CRIANCA,aceite_manual,consolidado
CAEd,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada,,ESC_002,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,exata_normalizada,consolidado
Contexto CAEd,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada,,ESC_002,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,exata_normalizada,consolidado
CAEd,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,graziela,exata_normalizada,,ESC_003,EMEF AFONSO GUERREIRO LIMA,43105440,EMEF AFONSO GUERREIRO LIMA,exata_normalizada,consolidado
Contexto CAEd,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,graziela,exata_normalizada,,ESC_003,EMEF AFONSO GUERREIRO LIMA,43105440,EMEF AFONSO GUERREIRO LIMA,exata_normalizada,consolidado
CAEd,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,nathalia,exata_normalizada,,ESC_004,EMEF AMERICA,43105459,EMEF AMERICA,exata_normalizada,consolidado
Contexto CAEd,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,nathalia,exata_normalizada,,ESC_004,EMEF AMERICA,43105459,EMEF AMERICA,exata_normalizada,consolidado
CAEd,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,priscila,exata_normalizada,,ESC_005,EMEF ARAMY SILVA,43105467,EMEF ARAMY SILVA,exata_normalizada,consolidado
Contexto CAEd,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,priscila,exata_normalizada,,ESC_005,EMEF ARAMY SILVA,43105467,EMEF ARAMY SILVA,exata_normalizada,consolidado
