fonte,ordem_coluna,variavel,classe_r,tipo_r,numero_linhas,valores_ausentes,valores_distintos
dim_escola,1,id_escola,character,character,56,0,56
dim_escola,2,codigo_inep,character,character,56,0,56
dim_escola,3,nome_inep,character,character,56,0,56
dim_escola,4,nome_canonico,character,character,56,0,56
dim_escola,5,nome_vinculo_original,character,character,56,1,55
dim_escola,6,chave_nome,character,character,56,0,56
dim_escola,7,assessora,character,character,56,1,12
dim_escola,8,metodo_correspondencia_inep,character,character,56,0,2
dim_escola,9,status_codigo_inep,character,character,56,0,1
dim_escola,10,observacao_codigo_inep,character,character,56,51,4
dim_escola,11,tipo_vinculo_rede,character,character,56,0,5
dim_escola,12,exposicao_2025_1av,character,character,56,0,1
dim_escola,13,programa_iniciado_apos_2025_1av,character,character,56,0,1
dim_escola,14,dose_assessoramento_observada,character,character,56,0,1
dim_escola,15,possivel_municipalizacao_recente,character,character,56,0,2
dim_escola,16,escola_nova_recente,character,character,56,0,2
dim_escola,17,status_rede_2025,character,character,56,0,3
dim_escola,18,observacao_historico,character,character,56,0,7
dim_escola,19,status_validacao,character,character,56,0,1
dim_escola,20,dependencia_administrativa_2024,character,character,56,0,3
dim_escola,21,situacao_funcionamento_2024,character,character,56,0,1
dim_escola,22,grupo_administrativo_2024_final,character,character,56,0,5
contexto_2024,1,id_escola,character,character,56,0,56
contexto_2024,2,codigo_inep,character,character,56,0,56
contexto_2024,3,nome_canonico,character,character,56,0,56
contexto_2024,4,nome_vinculo_original,character,character,56,1,55
contexto_2024,5,assessora,character,character,56,0,13
contexto_2024,6,tipo_vinculo_rede,character,character,56,0,3
contexto_2024,7,status_rede_2025,character,character,56,0,4
contexto_2024,8,observacao_historico,character,character,56,51,4
contexto_2024,9,ano_contexto,numeric,double,56,0,1
contexto_2024,10,fonte_contexto,character,character,56,0,1
contexto_2024,11,contexto_pre_programa,logical,logical,56,0,1
contexto_2024,12,rede,numeric,double,56,0,3
contexto_2024,13,tipo_categoria_escola_privada,numeric,double,56,53,1
