id_escola,codigo_inep,nome_canonico,ano,avaliacao_id,elegivel_assessoramento,recebe_assessoramento,assessora_gerencial,status_carga_operacional,fonte_validacao,data_validacao,responsavel_validacao,observacao_validacao,status_homologacao,versao_regra
ESC_001,43105416,EEF PEQUENA CASA DA CRIANCA,2026,1a_avaliacao_formativa,NAO,NAO,,ZERO_OU_TENDENTE_A_ZERO,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,2026,1a_avaliacao_formativa,SIM,SIM,clarissa,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,2026,1a_avaliacao_formativa,SIM,SIM,graziela,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_004,43105459,EMEF AMERICA,2026,1a_avaliacao_formativa,SIM,SIM,nathalia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_005,43105467,EMEF ARAMY SILVA,2026,1a_avaliacao_formativa,SIM,SIM,priscila,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,2026,1a_avaliacao_formativa,SIM,SIM,andreia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_007,43187560,EMEF CHAPEU DO SOL,2026,1a_avaliacao_formativa,SIM,SIM,ruti,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_008,43177581,EMEF CHICO MENDES,2026,1a_avaliacao_formativa,SIM,SIM,eliane,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_009,43105475,EMEF DECIO MARTINS COSTA,2026,1a_avaliacao_formativa,SIM,SIM,nathalia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_010,43109128,EMEF DEP MARCIRIO GOULART LOUREIRO,2026,1a_avaliacao_formativa,SIM,SIM,marian,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_011,43109225,EMEF DEP VICTOR ISSLER,2026,1a_avaliacao_formativa,SIM,SIM,clarissa,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,2026,1a_avaliacao_formativa,SIM,SIM,jalize,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_013,43106331,EMEF ESPIRITO SANTO,2026,1a_avaliacao_formativa,SIM,SIM,priscila,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,Decreto de municipalização publicado no DOPA em 2026-02-23,HOMOLOGADO,2026-07-24_v1
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,2026,1a_avaliacao_formativa,SIM,SIM,jalize,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,Decreto de municipalização publicado no DOPA em 2026-02-24,HOMOLOGADO,2026-07-24_v1
ESC_015,43109233,EMEF GABRIEL OBINO,2026,1a_avaliacao_formativa,SIM,SIM,amanda,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,2026,1a_avaliacao_formativa,SIM,SIM,clarissa,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,2026,1a_avaliacao_formativa,SIM,SIM,andreia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,2026,1a_avaliacao_formativa,SIM,SIM,jalize,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_019,43172474,EMEF JEAN PIAGET,2026,1a_avaliacao_formativa,SIM,SIM,clarissa,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,2026,1a_avaliacao_formativa,SIM,SIM,eliane,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,2026,1a_avaliacao_formativa,SIM,SIM,julia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,2026,1a_avaliacao_formativa,SIM,SIM,jalize,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_023,43169490,EMEF JOSE MARIANO BECK,2026,1a_avaliacao_formativa,SIM,SIM,nathalia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_024,43109209,EMEF LAURO RODRIGUES,2026,1a_avaliacao_formativa,SIM,SIM,clarissa,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,2026,1a_avaliacao_formativa,SIM,SIM,graziela,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_026,43109144,EMEF LIDOVINO FANTON,2026,1a_avaliacao_formativa,SIM,SIM,julia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_027,43183018,EMEF MARIO QUINTANA,2026,1a_avaliacao_formativa,SIM,SIM,ruti,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_028,43177018,EMEF MIGRANTES,2026,1a_avaliacao_formativa,SIM,SIM,nathalia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_029,43293069,EMEF MORADAS DA HIPICA,2026,1a_avaliacao_formativa,SIM,SIM,amanda,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_030,43177034,EMEF MORRO DA CRUZ,2026,1a_avaliacao_formativa,SIM,SIM,andreia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
ESC_031,43177042,EMEF NEUSA GOULART BRIZOLA,2026,1a_avaliacao_formativa,SIM,SIM,julia,ATIVA,declaracao formal,2026-07-24,Marian Dante - assessora UEF/SMED,,HOMOLOGADO,2026-07-24_v1
