id_escola,codigo_inep,nome_canonico,assessora_gerencial,cobertura_componentes_volume,cobertura_componentes_estrutural,cobertura_componentes_educacional,cobertura_componentes_administrativa,numero_series_resultado_2026_calculado,numero_series_comparaveis_calculado,qualidade_evidencia_educacional,interpretacao_educacional_cautelosa,interpretacao_indice_cautelosa
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,0.75,0.65,0.85,1,1,1,Limitada — uma ou duas séries,TRUE,TRUE
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,1,1,1,1,5,5,Completa — cinco séries,FALSE,FALSE
