id_escola,codigo_inep,nome_canonico,assessora_gerencial,status_geracao,mensagem_erro,arquivo_html,html_existe,grafico_dimensoes_existe,grafico_participacao_existe,grafico_proficiencia_existe
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_056_eef-aldeia-lumiar.html,TRUE,TRUE,TRUE,TRUE
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_015_emef-gabriel-obino.html,TRUE,TRUE,TRUE,TRUE
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_029_emef-moradas-da-hipica.html,TRUE,TRUE,TRUE,TRUE
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_032_emef-nossa-senhora-de-fatima.html,TRUE,TRUE,TRUE,TRUE
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_033_emef-nossa-senhora-do-carmo.html,TRUE,TRUE,TRUE,TRUE
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_042_emef-prof-larry-jose-ribeiro-alves.html,TRUE,TRUE,TRUE,TRUE
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_006_emef-campos-do-cristal.html,TRUE,TRUE,TRUE,TRUE
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_017_emef-grande-oriente-do-rgs.html,TRUE,TRUE,TRUE,TRUE
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_030_emef-morro-da-cruz.html,TRUE,TRUE,TRUE,TRUE
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_039_emef-prof-anisio-teixeira.html,TRUE,TRUE,TRUE,TRUE
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_044_emef-saint-hilaire.html,TRUE,TRUE,TRUE,TRUE
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_002_emeb-dr-liberato-salzano-vieira-da-cunha.html,TRUE,TRUE,TRUE,TRUE
ESC_011,43109225,EMEF DEP VICTOR ISSLER,clarissa,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_011_emef-dep-victor-issler.html,TRUE,TRUE,TRUE,TRUE
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_016_emef-gov-ildo-meneghetti.html,TRUE,TRUE,TRUE,TRUE
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_019_emef-jean-piaget.html,TRUE,TRUE,TRUE,TRUE
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_024_emef-lauro-rodrigues.html,TRUE,TRUE,TRUE,TRUE
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_048_emef-ver-antonio-giudice.html,TRUE,TRUE,TRUE,TRUE
ESC_008,43177581,EMEF CHICO MENDES,eliane,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_008_emef-chico-mendes.html,TRUE,TRUE,TRUE,TRUE
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_020_emef-joao-antonio-satte.html,TRUE,TRUE,TRUE,TRUE
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_037_emef-presidente-vargas.html,TRUE,TRUE,TRUE,TRUE
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_038_emef-prof-ana-iris-do-amaral.html,TRUE,TRUE,TRUE,TRUE
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,gerada,,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/fichas_escolas/execucao_20260718_170534/html/ESC_052_emef-wenceslau-fontoura.html,TRUE,TRUE,TRUE,TRUE
