id_escola,codigo_inep,nome_canonico,assessora_gerencial,painel_incompleto,interpretacao_educacional_cautelosa,interpretacao_indice_cautelosa,possui_complexidade_administrativa,possui_alerta_composicao,sem_vinculacao_informada,sensibilidade_faixa,observacoes_composicao_limpa
ESC_056,43189768,EEF ALDEIA LUMIAR,Sem vinculação informada,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Sensibilidade elevada,Escola-série ausente em um dos anos | Queda de participação igual ou superior a 10 p.p.
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_029,43293069,EMEF MORADAS DA HIPICA,amanda,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_032,43105513,EMEF NOSSA SENHORA DE FATIMA,amanda,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_033,43204643,EMEF NOSSA SENHORA DO CARMO,amanda,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Mudança relevante no número de estudantes previstos
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,Aumento de participação igual ou superior a 10 p.p.
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,andreia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_017,43108571,EMEF GRANDE ORIENTE DO RGS,andreia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_030,43177034,EMEF MORRO DA CRUZ,andreia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Mudança relevante no número de estudantes previstos
ESC_039,43172490,EMEF PROF ANISIO TEIXEIRA,andreia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p.
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_016,43107508,EMEF GOV ILDO MENEGHETTI,clarissa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_019,43172474,EMEF JEAN PIAGET,clarissa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade elevada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_024,43109209,EMEF LAURO RODRIGUES,clarissa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_008,43177581,EMEF CHICO MENDES,eliane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p.
ESC_038,43109195,EMEF PROF ANA IRIS DO AMARAL,eliane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p.
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,graziela,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_025,43109063,EMEF LEOCADIA FELIZARDO PRESTES,graziela,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_041,43109055,EMEF PROF JUDITH MACEDO DE ARAUJO,graziela,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p.
ESC_012,43105483,EMEF DOLORES ALCARAZ CALDAS,jalize,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no número de estudantes previstos
ESC_014,43106382,EMEF EVARISTO GONCALVES NETTO,jalize,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Sensibilidade moderada,Escola-série ausente em um dos anos
ESC_018,43105548,EMEF HEITOR VILLA LOBOS,jalize,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Mudança relevante no público previsto e aumento de participação
ESC_022,43105491,EMEF JOSE LOUREIRO DA SILVA,jalize,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p.
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Sensibilidade moderada,Aumento de participação igual ou superior a 10 p.p. | Baixo número de avaliados em pelo menos um ano | Escola-série ausente em um dos anos | Mudança relevante no número de estudantes previstos | Mudança relevante no público previsto e aumento de participação
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Estável nos cenários,Queda de participação igual ou superior a 10 p.p.
