id_escola,codigo_inep,nome_inep,nome_canonico,nome_vinculo_original,chave_nome,assessora,metodo_correspondencia_inep,status_codigo_inep,observacao_codigo_inep,tipo_vinculo_rede,exposicao_2025_1av,programa_iniciado_apos_2025_1av,dose_assessoramento_observada,possivel_municipalizacao_recente,escola_nova_recente,status_rede_2025,observacao_historico,status_validacao
ESC_056,43189768,6002 EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,,EEF ALDEIA LUMIAR,,aceite_manual,consolidado,escola filantropica sob supervisao municipal,filantropica_sob_supervisao_municipal,0,TRUE,FALSE,FALSE,FALSE,fora_da_rede_municipal_direta,Possível escola estadual posteriormente municipalizada; situação administrativa e data de ingresso na rede devem ser confirmadas em fonte oficial. | escola filantropica sob supervisao municipal,codigo_inep_consolidado
ESC_001,43105416,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,6001 EEF PEQUENA CASA DA CRIANCA,EEF PEQUENA CASA DA CRIANCA,outras,aceite_manual,consolidado,escola privada conveniada sob supervisao municipal,privada_conveniada_sob_supervisao_municipal,0,TRUE,FALSE,FALSE,FALSE,fora_da_rede_municipal_direta,escola privada conveniada sob supervisao municipal,codigo_inep_consolidado
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_003,43105440,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,EMEF AFONSO GUERREIRO LIMA,graziela,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_004,43105459,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,EMEF AMERICA,nathalia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_005,43105467,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,EMEF ARAMY SILVA,priscila,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_006,43173713,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,EMEF CAMPOS DO CRISTAL,andreia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_007,43187560,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,ruti,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_008,43177581,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,EMEF CHICO MENDES,eliane,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
ESC_009,43105475,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,nathalia,exata_normalizada,consolidado,,rede_municipal_direta_ou_nao_classificada,0,TRUE,FALSE,FALSE,FALSE,rede_municipal_direta,,codigo_inep_consolidado
